"","Overall"
"S2_B02",34.4232624409816
"S2_B03",39.2252243231098
"S2_B04",72.762801771809
"S2_B05",72.156909882698
"S2_B06",13.1231160332395
"S2_B07",39.3280494716314
"S2_B08",42.3015629577478
"S2_B11",100
"S2_B12",93.7708992060916
"S2_B8A",33.2888289391263
"LS8_B01",21.3720951738039
"LS8_B02",38.7003815762156
"LS8_B03",33.5026512058696
"LS8_B04",62.4152998958867
"LS8_B05",30.4179025634487
"LS8_B06",59.9933877998161
"LS8_B07",73.7615004338956
"VH_MAX",5.59430764371366
"VH_MEAN",10.8228667778238
"VH_MED",7.22340786034378
"VH_MIN",15.8484285129375
"VH_SUM",9.931344063405
"VV_MAX",3.59151067297755
"VV_MEAN",0.0222201738199611
"VV_MED",0
"VV_MIN",0.749005036648831
"VV_SUM",0.512263726125932
