"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",1,0.958904109589041,0.916666666666667,1,0.916666666666667,1,0.956521739130435,0.311320754716981,0.311320754716981,0.339622641509434,0.97945205479452
"Class: 2",0.791666666666667,0.926829268292683,0.76,0.938271604938272,0.76,0.791666666666667,0.775510204081633,0.226415094339623,0.179245283018868,0.235849056603774,0.859247967479675
"Class: 3",0.827586206896552,0.922077922077922,0.8,0.934210526315789,0.8,0.827586206896552,0.813559322033898,0.273584905660377,0.226415094339623,0.283018867924528,0.874832064487237
"Class: 4",0.6,0.965116279069767,0.8,0.912087912087912,0.8,0.6,0.685714285714286,0.188679245283019,0.113207547169811,0.141509433962264,0.782558139534884
