"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.878787878787879,0.972602739726027,0.935483870967742,0.946666666666667,0.935483870967742,0.878787878787879,0.90625,0.311320754716981,0.273584905660377,0.292452830188679,0.925695309256953
"Class: 2",0.708333333333333,0.939024390243902,0.772727272727273,0.916666666666667,0.772727272727273,0.708333333333333,0.739130434782609,0.226415094339623,0.160377358490566,0.207547169811321,0.823678861788618
"Class: 3",0.931034482758621,0.831168831168831,0.675,0.96969696969697,0.675,0.931034482758621,0.782608695652174,0.273584905660377,0.254716981132075,0.377358490566038,0.881101656963726
"Class: 4",0.45,0.953488372093023,0.692307692307692,0.881720430107527,0.692307692307692,0.45,0.545454545454546,0.188679245283019,0.0849056603773585,0.122641509433962,0.701744186046512
