"","x"
"Accuracy",0.886792452830189
"Kappa",0.846209648168299
"AccuracyLower",0.810597752180134
"AccuracyUpper",0.940116841667488
"AccuracyNull",0.311320754716981
"AccuracyPValue",6.10562616665969e-35
"McnemarPValue",NA
