"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.909090909090909,0.972602739726027,0.9375,0.959459459459459,0.9375,0.909090909090909,0.923076923076923,0.311320754716981,0.283018867924528,0.30188679245283,0.940846824408468
"Class: 2",0.583333333333333,0.963414634146341,0.823529411764706,0.887640449438202,0.823529411764706,0.583333333333333,0.682926829268293,0.226415094339623,0.132075471698113,0.160377358490566,0.773373983739837
"Class: 3",0.931034482758621,0.805194805194805,0.642857142857143,0.96875,0.642857142857143,0.931034482758621,0.76056338028169,0.273584905660377,0.254716981132075,0.39622641509434,0.868114643976713
"Class: 4",0.45,0.930232558139535,0.6,0.879120879120879,0.6,0.45,0.514285714285714,0.188679245283019,0.0849056603773585,0.141509433962264,0.690116279069767
