"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",1,0.958904109589041,0.916666666666667,1,0.916666666666667,1,0.956521739130435,0.311320754716981,0.311320754716981,0.339622641509434,0.97945205479452
"Class: 2",0.875,0.975609756097561,0.91304347826087,0.963855421686747,0.91304347826087,0.875,0.893617021276596,0.226415094339623,0.19811320754717,0.216981132075472,0.92530487804878
"Class: 3",0.931034482758621,0.935064935064935,0.84375,0.972972972972973,0.84375,0.931034482758621,0.885245901639344,0.273584905660377,0.254716981132075,0.30188679245283,0.933049708911778
"Class: 4",0.7,0.988372093023256,0.933333333333333,0.934065934065934,0.933333333333333,0.7,0.8,0.188679245283019,0.132075471698113,0.141509433962264,0.844186046511628
