"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: 1",0.96969696969697,0.958904109589041,0.914285714285714,0.985915492957746,0.914285714285714,0.96969696969697,0.941176470588235,0.311320754716981,0.30188679245283,0.330188679245283,0.964300539643005
"Class: 2",0.791666666666667,0.98780487804878,0.95,0.941860465116279,0.95,0.791666666666667,0.863636363636364,0.226415094339623,0.179245283018868,0.188679245283019,0.889735772357723
"Class: 3",0.96551724137931,0.896103896103896,0.777777777777778,0.985714285714286,0.777777777777778,0.96551724137931,0.861538461538461,0.273584905660377,0.264150943396226,0.339622641509434,0.930810568741603
"Class: 4",0.7,0.988372093023256,0.933333333333333,0.934065934065934,0.933333333333333,0.7,0.8,0.188679245283019,0.132075471698113,0.141509433962264,0.844186046511628
