"","x"
"Accuracy",0.902234636871508
"Kappa",0.869646182495345
"AccuracyLower",0.878095190489937
"AccuracyUpper",0.922993212130224
"AccuracyNull",0.25
"AccuracyPValue",3.89322537273005e-300
"McnemarPValue",NA
