"","subdistrict","code","area_ha"
"1",3212010,1,860.75
"2",3212010,2,3415.5
"3",3212011,1,4795.8125
"4",3212011,2,2866.1875
"5",3212020,1,2022.75
"6",3212020,2,7722.3125
"7",3212030,1,236.875
"8",3212030,2,5776.5625
"9",3212040,1,141.9375
"10",3212040,2,3827.5625
"11",3212041,1,240.5625
"12",3212041,2,6660.625
"13",3212050,1,320.0625
"14",3212050,2,4234.5625
"15",3212060,1,305.75
"16",3212060,2,3196.5
"17",3212061,1,808.4375
"18",3212061,2,2768.5625
"19",3212070,1,12.125
"20",3212070,2,2900.0625
"21",3212080,1,36.3125
"22",3212080,2,2375.875
"23",3212081,1,47.9375
"24",3212081,2,2112.5625
"25",3212090,1,222.125
"26",3212090,2,4287.0625
"27",3212100,1,179.5
"28",3212100,2,1822.25
"29",3212101,1,37.125
"30",3212101,2,2194.375
"31",3212110,1,507.4375
"32",3212110,2,3040.9375
"33",3212120,1,720.5625
"34",3212120,2,3705
"35",3212130,1,52.3125
"36",3212130,2,2459.6875
"37",3212140,1,3.1875
"38",3212140,2,1037.25
"39",3212150,1,17.4375
"40",3212150,2,1624.625
"41",3212160,1,325.3125
"42",3212160,2,990
"43",3212161,1,127.0625
"44",3212161,2,543.9375
"45",3212162,1,76.9375
"46",3212162,2,492
"47",3212170,1,1181.75
"48",3212170,2,1207.9375
"49",3212171,1,756.875
"50",3212171,2,1142.875
"51",3212180,1,675.9375
"52",3212180,2,4218.125
"53",3212190,1,1786
"54",3212190,2,3970.5
"55",3212200,1,1683.125
"56",3212200,2,2028.5
"57",3212210,1,4146.125
"58",3212210,2,2107.8125
"59",3212220,1,2586.3125
"60",3212220,2,667.25
"61",3212221,1,1936.1875
"62",3212221,2,486.3125
"63",3213010,1,14.5625
"64",3213010,2,782.125
"65",3213011,1,165.0625
"66",3213011,2,1189.4375
"67",3213020,1,23.1875
"68",3213020,2,472.5625
"69",3213021,1,378
"70",3213021,2,445.3125
"71",3213030,1,331
"72",3213030,2,818.5625
"73",3213031,1,95.25
"74",3213031,2,519.8125
"75",3213040,1,640.4375
"76",3213040,2,463.6875
"77",3213050,1,464.0625
"78",3213050,2,1524
"79",3213060,1,313
"80",3213060,2,1488.0625
"81",3213070,1,241.5625
"82",3213070,2,939.0625
"83",3213080,1,913.0625
"84",3213080,2,1415.3125
"85",3213081,1,34.3125
"86",3213081,2,475.75
"87",3213090,1,863.8125
"88",3213090,2,847.0625
"89",3213100,1,4386.6875
"90",3213100,2,790.5
"91",3213110,1,5694.4375
"92",3213110,2,1152.5
"93",3213120,1,751.5625
"94",3213120,2,557.1875
"95",3213130,1,880.0625
"96",3213130,2,1697.875
"97",3213140,1,1086.5625
"98",3213140,2,1442.4375
"99",3213141,1,2069.25
"100",3213141,2,881.875
"101",3213150,1,3002.625
"102",3213150,2,2664.125
"103",3213160,1,4453.6875
"104",3213160,2,901.5625
"105",3213170,1,2283.8125
"106",3213170,2,1592.125
"107",3213171,1,4784.25
"108",3213171,2,443.1875
"109",3213180,1,6471.8125
"110",3213180,2,2065.625
"111",3213190,1,1790.3125
"112",3213190,2,278.9375
"113",3213191,1,2823.25
"114",3213191,2,402.4375
"115",3213200,1,1986.8125
"116",3213200,2,340.375
"117",3213201,1,3424.1875
"118",3213201,2,1000.1875
"119",3213210,1,2341.4375
"120",3213210,2,270.5
"121",3213220,1,3077.25
"122",3213220,2,1996.0625
"123",3215010,1,2126.6875
"124",3215010,2,685.4375
"125",3215011,1,1416.0625
"126",3215011,2,383
"127",3215020,1,514.875
"128",3215020,2,579.4375
"129",3215031,1,224.3125
"130",3215031,2,746.875
"131",3215032,1,1776.75
"132",3215032,2,765
"133",3215040,1,940.375
"134",3215040,2,1452.1875
"135",3215050,1,115.75
"136",3215050,2,200.0625
"137",3215051,1,1155.0625
"138",3215051,2,554.875
"139",3215060,1,2705.0625
"140",3215060,2,709
"141",3215070,1,2612.3125
"142",3215070,2,1248.3125
"143",3215071,1,3678.125
"144",3215071,2,573.3125
"145",3215072,1,989.8125
"146",3215072,2,381.3125
"147",3215081,1,4391.6875
"148",3215081,2,532.375
"149",3215082,1,4655.4375
"150",3215082,2,661.8125
"151",3215090,1,3289.875
"152",3215090,2,654.125
"153",3215100,1,3696.5625
"154",3215100,2,353.6875
"155",3215111,1,2055.375
"156",3215111,2,303.0625
"157",3215112,1,774.875
"158",3215112,2,535.3125
"159",3215113,1,1700.875
"160",3215113,2,491.5625
"161",3215120,1,2786.375
"162",3215120,2,642.375
"163",3215130,1,6128.9375
"164",3215130,2,940.25
"165",3215140,1,3192.75
"166",3215140,2,1175.0625
"167",3215150,1,2211.125
"168",3215150,2,204.4375
"169",3215151,1,3140.3125
"170",3215151,2,198.4375
"171",3215160,1,4701.625
"172",3215160,2,559.25
"173",3215161,1,4653.125
"174",3215161,2,491.9375
"175",3215170,1,2839.75
"176",3215170,2,1859.1875
"177",3215180,1,3581.375
"178",3215180,2,1395.9375
"179",3215190,1,4309.3125
"180",3215190,2,476.75
"181",3215200,1,2832.0625
"182",3215200,2,123
