"","subdistrict","code","area_ha"
"1",3212010,1,2574.6875
"2",3212010,2,1701.5625
"3",3212011,1,5607
"4",3212011,2,2055
"5",3212020,1,8481.25
"6",3212020,2,1263.8125
"7",3212030,1,4616.8125
"8",3212030,2,1396.625
"9",3212040,1,3068.1875
"10",3212040,2,901.3125
"11",3212041,1,5436.3125
"12",3212041,2,1464.875
"13",3212050,1,1493.6875
"14",3212050,2,3060.9375
"15",3212060,1,700.0625
"16",3212060,2,2802.1875
"17",3212061,1,805.875
"18",3212061,2,2771.125
"19",3212070,1,371.0625
"20",3212070,2,2541.125
"21",3212080,1,1293.5625
"22",3212080,2,1118.625
"23",3212081,1,37.375
"24",3212081,2,2123.125
"25",3212090,1,4043.25
"26",3212090,2,465.9375
"27",3212100,1,1676.0625
"28",3212100,2,325.6875
"29",3212101,1,1886.875
"30",3212101,2,344.625
"31",3212110,1,2792.9375
"32",3212110,2,755.4375
"33",3212120,1,3495.5625
"34",3212120,2,930
"35",3212130,1,1321.875
"36",3212130,2,1190.125
"37",3212140,1,265.375
"38",3212140,2,775.0625
"39",3212150,1,621.875
"40",3212150,2,1020.1875
"41",3212160,1,410.625
"42",3212160,2,904.6875
"43",3212161,1,77.25
"44",3212161,2,593.75
"45",3212162,1,246.125
"46",3212162,2,322.8125
"47",3212170,1,683.75
"48",3212170,2,1705.9375
"49",3212171,1,942.5
"50",3212171,2,957.25
"51",3212180,1,4031
"52",3212180,2,863.0625
"53",3212190,1,4961.6875
"54",3212190,2,794.8125
"55",3212200,1,3479.375
"56",3212200,2,232.25
"57",3212210,1,5735.375
"58",3212210,2,518.5625
"59",3212220,1,2560.0625
"60",3212220,2,693.5
"61",3212221,1,2175.625
"62",3212221,2,246.875
"63",3213010,1,7.1875
"64",3213010,2,789.5
"65",3213011,1,4.5625
"66",3213011,2,1349.9375
"67",3213020,1,0.8125
"68",3213020,2,494.9375
"69",3213021,2,823.3125
"70",3213030,1,140.6875
"71",3213030,2,1008.875
"72",3213031,1,9
"73",3213031,2,606.0625
"74",3213040,1,138.375
"75",3213040,2,965.75
"76",3213050,1,43.3125
"77",3213050,2,1944.75
"78",3213060,1,312.875
"79",3213060,2,1488.1875
"80",3213070,1,124.6875
"81",3213070,2,1055.9375
"82",3213080,1,79
"83",3213080,2,2249.375
"84",3213081,1,42.875
"85",3213081,2,467.1875
"86",3213090,2,1710.875
"87",3213100,1,798.9375
"88",3213100,2,4378.25
"89",3213110,1,4200.4375
"90",3213110,2,2646.5
"91",3213120,1,836.125
"92",3213120,2,472.625
"93",3213130,1,2095.1875
"94",3213130,2,482.75
"95",3213140,1,1258.3125
"96",3213140,2,1270.6875
"97",3213141,1,1928.75
"98",3213141,2,1022.375
"99",3213150,1,2651.25
"100",3213150,2,3015.5
"101",3213160,1,4538
"102",3213160,2,817.25
"103",3213170,1,3014.4375
"104",3213170,2,861.5
"105",3213171,1,4419.375
"106",3213171,2,808.0625
"107",3213180,1,6923.1875
"108",3213180,2,1614.25
"109",3213190,1,1253.1875
"110",3213190,2,816.0625
"111",3213191,1,2453.75
"112",3213191,2,771.9375
"113",3213200,1,1587.0625
"114",3213200,2,740.125
"115",3213201,1,3568.4375
"116",3213201,2,855.9375
"117",3213210,1,1837.6875
"118",3213210,2,774.25
"119",3213220,1,3238.25
"120",3213220,2,1835.0625
"121",3215010,2,2812.125
"122",3215011,2,1799.0625
"123",3215020,2,1094.3125
"124",3215031,2,971.1875
"125",3215032,2,2541.75
"126",3215040,2,2392.5625
"127",3215050,2,315.8125
"128",3215051,2,1709.9375
"129",3215060,1,32.625
"130",3215060,2,3381.4375
"131",3215070,1,756.3125
"132",3215070,2,3104.3125
"133",3215071,1,2177.8125
"134",3215071,2,2073.625
"135",3215072,2,1371.125
"136",3215081,1,3591.1875
"137",3215081,2,1332.875
"138",3215082,1,4086.6875
"139",3215082,2,1230.5625
"140",3215090,1,826.75
"141",3215090,2,3117.25
"142",3215100,1,2
"143",3215100,2,4048.25
"144",3215111,2,2358.4375
"145",3215112,2,1310.1875
"146",3215113,2,2192.4375
"147",3215120,2,3428.75
"148",3215130,1,1441.8125
"149",3215130,2,5627.375
"150",3215140,2,4367.8125
"151",3215150,2,2415.5625
"152",3215151,1,4
"153",3215151,2,3334.75
"154",3215160,1,8.6875
"155",3215160,2,5252.1875
"156",3215161,1,169.1875
"157",3215161,2,4975.875
"158",3215170,2,4698.9375
"159",3215180,1,6.875
"160",3215180,2,4970.4375
"161",3215190,2,4786.0625
"162",3215200,1,1.25
"163",3215200,2,2953.8125
