"","subdistrict","code","area_ha"
"1",3212010,2,4276.25
"2",3212011,2,7662
"3",3212020,2,9745.0625
"4",3212030,2,6013.4375
"5",3212040,1,6.125
"6",3212040,2,3963.375
"7",3212041,1,11.5
"8",3212041,2,6889.6875
"9",3212050,1,19.8125
"10",3212050,2,4534.8125
"11",3212060,1,14.625
"12",3212060,2,3487.625
"13",3212061,2,3577
"14",3212070,2,2912.1875
"15",3212080,1,88.5
"16",3212080,2,2323.6875
"17",3212081,2,2160.5
"18",3212090,1,233.0625
"19",3212090,2,4276.125
"20",3212100,1,211
"21",3212100,2,1790.75
"22",3212101,1,378.75
"23",3212101,2,1852.75
"24",3212110,1,269.9375
"25",3212110,2,3278.4375
"26",3212120,2,4425.5625
"27",3212130,2,2512
"28",3212140,2,1040.4375
"29",3212150,2,1642.0625
"30",3212160,2,1315.3125
"31",3212161,2,671
"32",3212162,2,568.9375
"33",3212170,1,25.1875
"34",3212170,2,2364.5
"35",3212171,2,1899.75
"36",3212180,1,113.3125
"37",3212180,2,4780.75
"38",3212190,2,5756.5
"39",3212200,2,3711.625
"40",3212210,2,6253.9375
"41",3212220,2,3253.5625
"42",3212221,2,2422.5
"43",3213010,2,796.6875
"44",3213011,2,1354.5
"45",3213020,2,495.75
"46",3213021,2,823.3125
"47",3213030,2,1149.5625
"48",3213031,2,615.0625
"49",3213040,2,1104.125
"50",3213050,2,1988.0625
"51",3213060,2,1801.0625
"52",3213070,2,1180.625
"53",3213080,2,2328.375
"54",3213081,2,510.0625
"55",3213090,2,1710.875
"56",3213100,2,5177.1875
"57",3213110,2,6846.9375
"58",3213120,2,1308.75
"59",3213130,2,2577.9375
"60",3213140,2,2529
"61",3213141,2,2951.125
"62",3213150,2,5666.75
"63",3213160,2,5355.25
"64",3213170,2,3875.9375
"65",3213171,2,5227.4375
"66",3213180,2,8537.4375
"67",3213190,2,2069.25
"68",3213191,2,3225.6875
"69",3213200,2,2327.1875
"70",3213201,2,4424.375
"71",3213210,2,2611.9375
"72",3213220,2,5073.3125
"73",3215010,2,2812.125
"74",3215011,2,1799.0625
"75",3215020,2,1094.3125
"76",3215031,2,971.1875
"77",3215032,2,2541.75
"78",3215040,2,2392.5625
"79",3215050,2,315.8125
"80",3215051,2,1709.9375
"81",3215060,2,3414.0625
"82",3215070,2,3860.625
"83",3215071,2,4251.4375
"84",3215072,2,1371.125
"85",3215081,2,4924.0625
"86",3215082,2,5317.25
"87",3215090,2,3944
"88",3215100,2,4050.25
"89",3215111,2,2358.4375
"90",3215112,2,1310.1875
"91",3215113,2,2192.4375
"92",3215120,2,3428.75
"93",3215130,2,7069.1875
"94",3215140,2,4367.8125
"95",3215150,2,2415.5625
"96",3215151,2,3338.75
"97",3215160,2,5260.875
"98",3215161,2,5145.0625
"99",3215170,2,4698.9375
"100",3215180,2,4977.3125
"101",3215190,2,4786.0625
"102",3215200,2,2955.0625
