"","subdistrict","code","area_ha"
"1",3212010,2,4276.25
"2",3212011,1,1.3125
"3",3212011,2,7660.6875
"4",3212020,2,9745.0625
"5",3212030,2,6013.4375
"6",3212040,2,3969.5
"7",3212041,1,62.5
"8",3212041,2,6838.6875
"9",3212050,2,4554.625
"10",3212060,2,3502.25
"11",3212061,2,3577
"12",3212070,2,2912.1875
"13",3212080,2,2412.1875
"14",3212081,2,2160.5
"15",3212090,2,4509.1875
"16",3212100,2,2001.75
"17",3212101,2,2231.5
"18",3212110,2,3548.375
"19",3212120,2,4425.5625
"20",3212130,2,2512
"21",3212140,2,1040.4375
"22",3212150,2,1642.0625
"23",3212160,2,1315.3125
"24",3212161,2,671
"25",3212162,2,568.9375
"26",3212170,2,2389.6875
"27",3212171,2,1899.75
"28",3212180,2,4894.0625
"29",3212190,1,83.125
"30",3212190,2,5673.375
"31",3212200,2,3711.625
"32",3212210,1,11.0625
"33",3212210,2,6242.875
"34",3212220,1,104.1875
"35",3212220,2,3149.375
"36",3212221,1,6.75
"37",3212221,2,2415.75
"38",3213010,2,796.6875
"39",3213011,1,126.625
"40",3213011,2,1227.875
"41",3213020,2,495.75
"42",3213021,1,4.5625
"43",3213021,2,818.75
"44",3213030,1,19.3125
"45",3213030,2,1130.25
"46",3213031,2,615.0625
"47",3213040,1,6.75
"48",3213040,2,1097.375
"49",3213050,1,6.4375
"50",3213050,2,1981.625
"51",3213060,2,1801.0625
"52",3213070,2,1180.625
"53",3213080,1,67.25
"54",3213080,2,2261.125
"55",3213081,1,8.375
"56",3213081,2,501.6875
"57",3213090,1,771
"58",3213090,2,939.875
"59",3213100,1,1712.125
"60",3213100,2,3465.0625
"61",3213110,1,2448.8125
"62",3213110,2,4398.125
"63",3213120,1,373.625
"64",3213120,2,935.125
"65",3213130,1,1644.625
"66",3213130,2,933.3125
"67",3213140,1,10.5
"68",3213140,2,2518.5
"69",3213141,1,26
"70",3213141,2,2925.125
"71",3213150,2,5666.75
"72",3213160,1,57.1875
"73",3213160,2,5298.0625
"74",3213170,1,325.75
"75",3213170,2,3550.1875
"76",3213171,1,1514.1875
"77",3213171,2,3713.25
"78",3213180,1,4376.5625
"79",3213180,2,4160.875
"80",3213190,1,235.875
"81",3213190,2,1833.375
"82",3213191,1,949.5625
"83",3213191,2,2276.125
"84",3213200,1,104.625
"85",3213200,2,2222.5625
"86",3213201,1,35.4375
"87",3213201,2,4388.9375
"88",3213210,1,263.375
"89",3213210,2,2348.5625
"90",3213220,1,1250.5625
"91",3213220,2,3822.75
"92",3215010,1,189.6875
"93",3215010,2,2622.4375
"94",3215011,1,50.375
"95",3215011,2,1748.6875
"96",3215020,1,143
"97",3215020,2,951.3125
"98",3215031,1,467.5625
"99",3215031,2,503.625
"100",3215032,1,1598.9375
"101",3215032,2,942.8125
"102",3215040,1,345.25
"103",3215040,2,2047.3125
"104",3215050,1,144.375
"105",3215050,2,171.4375
"106",3215051,1,930.6875
"107",3215051,2,779.25
"108",3215060,1,879.9375
"109",3215060,2,2534.125
"110",3215070,2,3860.625
"111",3215071,1,123.9375
"112",3215071,2,4127.5
"113",3215072,1,77
"114",3215072,2,1294.125
"115",3215081,1,27.9375
"116",3215081,2,4896.125
"117",3215082,1,1123.375
"118",3215082,2,4193.875
"119",3215090,1,2352
"120",3215090,2,1592
"121",3215100,1,3099.25
"122",3215100,2,951
"123",3215111,1,1571.4375
"124",3215111,2,787
"125",3215112,1,747.4375
"126",3215112,2,562.75
"127",3215113,1,1287.8125
"128",3215113,2,904.625
"129",3215120,1,2592.375
"130",3215120,2,836.375
"131",3215130,1,6078.375
"132",3215130,2,990.8125
"133",3215140,1,2712.375
"134",3215140,2,1655.4375
"135",3215150,1,1657.1875
"136",3215150,2,758.375
"137",3215151,1,3029.0625
"138",3215151,2,309.6875
"139",3215160,1,4568.25
"140",3215160,2,692.625
"141",3215161,1,4543.125
"142",3215161,2,601.9375
"143",3215170,1,3314.625
"144",3215170,2,1384.3125
"145",3215180,1,4297.8125
"146",3215180,2,679.5
"147",3215190,1,1990.1875
"148",3215190,2,2795.875
"149",3215200,1,1046.5625
"150",3215200,2,1908.5
