"","subdistrict","code","area_ha"
"1",3212010,1,266.3125
"2",3212010,2,4009.9375
"3",3212011,1,154.25
"4",3212011,2,7507.75
"5",3212020,1,2.375
"6",3212020,2,9742.6875
"7",3212030,2,6013.4375
"8",3212040,2,3969.5
"9",3212041,1,0.4375
"10",3212041,2,6900.75
"11",3212050,2,4554.625
"12",3212060,1,6.9375
"13",3212060,2,3495.3125
"14",3212061,1,4.5625
"15",3212061,2,3572.4375
"16",3212070,2,2912.1875
"17",3212080,2,2412.1875
"18",3212081,2,2160.5
"19",3212090,1,42.375
"20",3212090,2,4466.8125
"21",3212100,1,32.9375
"22",3212100,2,1968.8125
"23",3212101,2,2231.5
"24",3212110,1,15.875
"25",3212110,2,3532.5
"26",3212120,2,4425.5625
"27",3212130,2,2512
"28",3212140,1,10.0625
"29",3212140,2,1030.375
"30",3212150,1,9.75
"31",3212150,2,1632.3125
"32",3212160,2,1315.3125
"33",3212161,2,671
"34",3212162,1,18.5
"35",3212162,2,550.4375
"36",3212170,2,2389.6875
"37",3212171,2,1899.75
"38",3212180,2,4894.0625
"39",3212190,1,160.1875
"40",3212190,2,5596.3125
"41",3212200,2,3711.625
"42",3212210,1,1706.625
"43",3212210,2,4547.3125
"44",3212220,1,2700.8125
"45",3212220,2,552.75
"46",3212221,1,224.75
"47",3212221,2,2197.75
"48",3213010,1,125.125
"49",3213010,2,671.5625
"50",3213011,1,256.5
"51",3213011,2,1098
"52",3213020,1,32.375
"53",3213020,2,463.375
"54",3213021,1,197.375
"55",3213021,2,625.9375
"56",3213030,1,355.125
"57",3213030,2,794.4375
"58",3213031,1,183.1875
"59",3213031,2,431.875
"60",3213040,1,87
"61",3213040,2,1017.125
"62",3213050,1,197.5
"63",3213050,2,1790.5625
"64",3213060,1,367
"65",3213060,2,1434.0625
"66",3213070,1,154.375
"67",3213070,2,1026.25
"68",3213080,1,150.1875
"69",3213080,2,2178.1875
"70",3213081,1,207.375
"71",3213081,2,302.6875
"72",3213090,1,107.5
"73",3213090,2,1603.375
"74",3213100,1,118.4375
"75",3213100,2,5058.75
"76",3213110,1,115.625
"77",3213110,2,6731.3125
"78",3213120,1,54.625
"79",3213120,2,1254.125
"80",3213130,1,182.875
"81",3213130,2,2395.0625
"82",3213140,1,115.375
"83",3213140,2,2413.625
"84",3213141,1,396.5
"85",3213141,2,2554.625
"86",3213150,1,131.3125
"87",3213150,2,5535.4375
"88",3213160,1,1060.3125
"89",3213160,2,4294.9375
"90",3213170,1,805.9375
"91",3213170,2,3070
"92",3213171,1,2558.125
"93",3213171,2,2669.3125
"94",3213180,1,1542.75
"95",3213180,2,6994.6875
"96",3213190,1,956.3125
"97",3213190,2,1112.9375
"98",3213191,1,1833.25
"99",3213191,2,1392.4375
"100",3213200,1,1695.3125
"101",3213200,2,631.875
"102",3213201,1,3731.25
"103",3213201,2,693.125
"104",3213210,1,1227.9375
"105",3213210,2,1384
"106",3213220,1,2172.1875
"107",3213220,2,2901.125
"108",3215010,1,551.625
"109",3215010,2,2260.5
"110",3215011,1,742.875
"111",3215011,2,1056.1875
"112",3215020,1,7.1875
"113",3215020,2,1087.125
"114",3215031,1,15.1875
"115",3215031,2,956
"116",3215032,1,31.3125
"117",3215032,2,2510.4375
"118",3215040,1,171.5625
"119",3215040,2,2221
"120",3215050,1,0.8125
"121",3215050,2,315
"122",3215051,1,66.375
"123",3215051,2,1643.5625
"124",3215060,1,88.0625
"125",3215060,2,3326
"126",3215070,1,308.375
"127",3215070,2,3552.25
"128",3215071,1,648.5625
"129",3215071,2,3602.875
"130",3215072,1,36.9375
"131",3215072,2,1334.1875
"132",3215081,1,3032.625
"133",3215081,2,1891.4375
"134",3215082,1,3470.8125
"135",3215082,2,1846.4375
"136",3215090,1,604.25
"137",3215090,2,3339.75
"138",3215100,1,907.8125
"139",3215100,2,3142.4375
"140",3215111,1,153.25
"141",3215111,2,2205.1875
"142",3215112,1,81.875
"143",3215112,2,1228.3125
"144",3215113,1,154.6875
"145",3215113,2,2037.75
"146",3215120,1,461
"147",3215120,2,2967.75
"148",3215130,1,3846.125
"149",3215130,2,3223.0625
"150",3215140,1,2023.875
"151",3215140,2,2343.9375
"152",3215150,1,901.375
"153",3215150,2,1514.1875
"154",3215151,1,3130.4375
"155",3215151,2,208.3125
"156",3215160,1,4791.8125
"157",3215160,2,469.0625
"158",3215161,1,3970.9375
"159",3215161,2,1174.125
"160",3215170,1,3761.0625
"161",3215170,2,937.875
"162",3215180,1,2884.6875
"163",3215180,2,2092.625
"164",3215190,1,2025.75
"165",3215190,2,2760.3125
"166",3215200,1,1999.3125
"167",3215200,2,955.75
