"","subdistrict","code","area_ha"
"1",3212010,1,1245
"2",3212010,2,3031.25
"3",3212011,1,4313.25
"4",3212011,2,3348.75
"5",3212020,1,6914.125
"6",3212020,2,2830.9375
"7",3212030,1,2343.5625
"8",3212030,2,3669.875
"9",3212040,1,2891.5
"10",3212040,2,1078
"11",3212041,1,4890
"12",3212041,2,2011.1875
"13",3212050,1,2924.75
"14",3212050,2,1629.875
"15",3212060,1,1620.8125
"16",3212060,2,1881.4375
"17",3212061,1,1591.75
"18",3212061,2,1985.25
"19",3212070,1,1457.8125
"20",3212070,2,1454.375
"21",3212080,1,1131.9375
"22",3212080,2,1280.25
"23",3212081,1,1368.875
"24",3212081,2,791.625
"25",3212090,1,797.9375
"26",3212090,2,3711.25
"27",3212100,1,271.0625
"28",3212100,2,1730.6875
"29",3212101,1,881.4375
"30",3212101,2,1350.0625
"31",3212110,1,1218.8125
"32",3212110,2,2329.5625
"33",3212120,1,1775
"34",3212120,2,2650.5625
"35",3212130,1,849
"36",3212130,2,1663
"37",3212140,1,662.5
"38",3212140,2,377.9375
"39",3212150,1,262
"40",3212150,2,1380.0625
"41",3212160,1,169.5625
"42",3212160,2,1145.75
"43",3212161,1,94.25
"44",3212161,2,576.75
"45",3212162,1,182.3125
"46",3212162,2,386.625
"47",3212170,1,463.5
"48",3212170,2,1926.1875
"49",3212171,1,1416.25
"50",3212171,2,483.5
"51",3212180,1,2213.5
"52",3212180,2,2680.5625
"53",3212190,1,734.125
"54",3212190,2,5022.375
"55",3212200,1,441.625
"56",3212200,2,3270
"57",3212210,1,2772.4375
"58",3212210,2,3481.5
"59",3212220,1,1585.3125
"60",3212220,2,1668.25
"61",3212221,1,568.1875
"62",3212221,2,1854.3125
"63",3213010,1,142.875
"64",3213010,2,653.8125
"65",3213011,1,330.875
"66",3213011,2,1023.625
"67",3213020,1,54.4375
"68",3213020,2,441.3125
"69",3213021,1,200.0625
"70",3213021,2,623.25
"71",3213030,1,123.4375
"72",3213030,2,1026.125
"73",3213031,1,91.25
"74",3213031,2,523.8125
"75",3213040,1,92.1875
"76",3213040,2,1011.9375
"77",3213050,1,188.375
"78",3213050,2,1799.6875
"79",3213060,1,198.9375
"80",3213060,2,1602.125
"81",3213070,1,159.8125
"82",3213070,2,1020.8125
"83",3213080,1,700.3125
"84",3213080,2,1628.0625
"85",3213081,1,124.625
"86",3213081,2,385.4375
"87",3213090,1,402.875
"88",3213090,2,1308
"89",3213100,1,2107
"90",3213100,2,3070.1875
"91",3213110,1,1598.5
"92",3213110,2,5248.4375
"93",3213120,1,221.1875
"94",3213120,2,1087.5625
"95",3213130,1,277.125
"96",3213130,2,2300.8125
"97",3213140,1,335.5625
"98",3213140,2,2193.4375
"99",3213141,1,1409.8125
"100",3213141,2,1541.3125
"101",3213150,1,2097
"102",3213150,2,3569.75
"103",3213160,1,2948
"104",3213160,2,2407.25
"105",3213170,1,995.375
"106",3213170,2,2880.5625
"107",3213171,1,3285.3125
"108",3213171,2,1942.125
"109",3213180,1,3786.5
"110",3213180,2,4750.9375
"111",3213190,1,1212.4375
"112",3213190,2,856.8125
"113",3213191,1,2011.4375
"114",3213191,2,1214.25
"115",3213200,1,1541.875
"116",3213200,2,785.3125
"117",3213201,1,2569.3125
"118",3213201,2,1855.0625
"119",3213210,1,1926.1875
"120",3213210,2,685.75
"121",3213220,1,3142.0625
"122",3213220,2,1931.25
"123",3215010,1,883.75
"124",3215010,2,1928.375
"125",3215011,1,255.625
"126",3215011,2,1543.4375
"127",3215020,1,272.4375
"128",3215020,2,821.875
"129",3215031,1,69
"130",3215031,2,902.1875
"131",3215032,1,1122.875
"132",3215032,2,1418.875
"133",3215040,1,263.5
"134",3215040,2,2129.0625
"135",3215050,1,32.4375
"136",3215050,2,283.375
"137",3215051,1,111.875
"138",3215051,2,1598.0625
"139",3215060,1,167.1875
"140",3215060,2,3246.875
"141",3215070,1,209.4375
"142",3215070,2,3651.1875
"143",3215071,1,717.5625
"144",3215071,2,3533.875
"145",3215072,1,204.25
"146",3215072,2,1166.875
"147",3215081,1,2342.0625
"148",3215081,2,2582
"149",3215082,1,2024
"150",3215082,2,3293.25
"151",3215090,1,1076.625
"152",3215090,2,2867.375
"153",3215100,1,1878
"154",3215100,2,2172.25
"155",3215111,1,376.1875
"156",3215111,2,1982.25
"157",3215112,1,300.625
"158",3215112,2,1009.5625
"159",3215113,1,212.8125
"160",3215113,2,1979.625
"161",3215120,1,619
"162",3215120,2,2809.75
"163",3215130,1,2180.25
"164",3215130,2,4888.9375
"165",3215140,1,709.0625
"166",3215140,2,3658.75
"167",3215150,1,972.5625
"168",3215150,2,1443
"169",3215151,1,1635.3125
"170",3215151,2,1703.4375
"171",3215160,1,613
"172",3215160,2,4647.875
"173",3215161,1,235.625
"174",3215161,2,4909.4375
"175",3215170,1,1510.0625
"176",3215170,2,3188.875
"177",3215180,1,2623.5625
"178",3215180,2,2353.75
"179",3215190,1,3340.375
"180",3215190,2,1445.6875
"181",3215200,1,1842.9375
"182",3215200,2,1112.125
