"","subdistrict","code","area_ha"
"1",3212010,2,4276.25
"2",3212011,1,31.625
"3",3212011,2,7630.375
"4",3212020,1,1.5
"5",3212020,2,9743.5625
"6",3212030,2,6013.4375
"7",3212040,2,3969.5
"8",3212041,1,8.125
"9",3212041,2,6893.0625
"10",3212050,2,4554.625
"11",3212060,1,394.1875
"12",3212060,2,3108.0625
"13",3212061,1,685.8125
"14",3212061,2,2891.1875
"15",3212070,2,2912.1875
"16",3212080,2,2412.1875
"17",3212081,1,372.375
"18",3212081,2,1788.125
"19",3212090,1,49.0625
"20",3212090,2,4460.125
"21",3212100,1,62.75
"22",3212100,2,1939
"23",3212101,2,2231.5
"24",3212110,1,23.875
"25",3212110,2,3524.5
"26",3212120,1,177.1875
"27",3212120,2,4248.375
"28",3212130,1,708.3125
"29",3212130,2,1803.6875
"30",3212140,2,1040.4375
"31",3212150,1,74
"32",3212150,2,1568.0625
"33",3212160,1,25.5
"34",3212160,2,1289.8125
"35",3212161,2,671
"36",3212162,2,568.9375
"37",3212170,1,45.875
"38",3212170,2,2343.8125
"39",3212171,1,31.25
"40",3212171,2,1868.5
"41",3212180,1,18.5625
"42",3212180,2,4875.5
"43",3212190,1,14.3125
"44",3212190,2,5742.1875
"45",3212200,2,3711.625
"46",3212210,2,6253.9375
"47",3212220,2,3253.5625
"48",3212221,2,2422.5
"49",3213010,2,796.6875
"50",3213011,2,1354.5
"51",3213020,2,495.75
"52",3213021,1,9
"53",3213021,2,814.3125
"54",3213030,2,1149.5625
"55",3213031,1,6
"56",3213031,2,609.0625
"57",3213040,2,1104.125
"58",3213050,2,1988.0625
"59",3213060,2,1801.0625
"60",3213070,2,1180.625
"61",3213080,2,2328.375
"62",3213081,2,510.0625
"63",3213090,1,2.4375
"64",3213090,2,1708.4375
"65",3213100,2,5177.1875
"66",3213110,2,6846.9375
"67",3213120,2,1308.75
"68",3213130,2,2577.9375
"69",3213140,2,2529
"70",3213141,2,2951.125
"71",3213150,2,5666.75
"72",3213160,2,5355.25
"73",3213170,2,3875.9375
"74",3213171,2,5227.4375
"75",3213180,2,8537.4375
"76",3213190,2,2069.25
"77",3213191,2,3225.6875
"78",3213200,1,27.4375
"79",3213200,2,2299.75
"80",3213201,2,4424.375
"81",3213210,2,2611.9375
"82",3213220,1,32.25
"83",3213220,2,5041.0625
"84",3215010,2,2812.125
"85",3215011,2,1799.0625
"86",3215020,2,1094.3125
"87",3215031,2,971.1875
"88",3215032,2,2541.75
"89",3215040,2,2392.5625
"90",3215050,2,315.8125
"91",3215051,2,1709.9375
"92",3215060,2,3414.0625
"93",3215070,2,3860.625
"94",3215071,2,4251.4375
"95",3215072,2,1371.125
"96",3215081,1,280.8125
"97",3215081,2,4643.25
"98",3215082,1,174.5
"99",3215082,2,5142.75
"100",3215090,2,3944
"101",3215100,2,4050.25
"102",3215111,2,2358.4375
"103",3215112,2,1310.1875
"104",3215113,2,2192.4375
"105",3215120,2,3428.75
"106",3215130,1,77.6875
"107",3215130,2,6991.5
"108",3215140,2,4367.8125
"109",3215150,2,2415.5625
"110",3215151,2,3338.75
"111",3215160,1,232.375
"112",3215160,2,5028.5
"113",3215161,1,378.6875
"114",3215161,2,4766.375
"115",3215170,1,187.3125
"116",3215170,2,4511.625
"117",3215180,1,30.3125
"118",3215180,2,4947
"119",3215190,1,52.875
"120",3215190,2,4733.1875
"121",3215200,1,42.625
"122",3215200,2,2912.4375
