"","code","area_ha"
"1","1",51317
"2","2",29379
"3","3",21231
"4","4",36841
"5","27",1
"6","43",2
"7","59",159
"8","107",4
"9","123",3505
"10","187",21
"11","233",515
"12","235",1035
"13","249",17107
"14","251",148121
