"","namefile","size","masking","sampling","source","method","Count.Train","Count.Test","NoOfCoef","preProc","model","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa"
"14","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0014.csv","100","WithMasking","LOOCV","LS8","rf",252,106,12,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM",0.781746031746032,0.704465009168835,0.754716981132076,0.669346130773845
"15","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0015.csv","100","WithMasking","LOOCV","LS8","rf",252,106,37,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM",0.797619047619048,0.725847394355682,0.764150943396226,0.682025437964963
"16","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0016.csv","100","WithMasking","LOOCV","LS8","rf",252,106,17,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM",0.801587301587302,0.730878489502125,0.726415094339623,0.631060969755161
"17","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0017.csv","100","WithMasking","LOOCV","LS8","rf",252,106,12,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX + d_VH_MEAN + d_VH_MED + d_VH_MIN + d_VH_SUM",0.80952380952381,0.74116237267825,0.773584905660377,0.694524495677234
"18","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0018.csv","100","WithMasking","LOOCV","LS8","rf",252,106,12,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX + d_VV_MEAN + d_VV_MED + d_VV_MIN + d_VV_SUM",0.797619047619048,0.725660127649583,0.726415094339623,0.631238003838772
"19","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0019.csv","100","WithMasking","LOOCV","LS8","rf",252,106,10,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MAX_1 + d_VH_MAX",0.793650793650794,0.72011362908221,0.773584905660377,0.694671147383581
"20","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0020.csv","100","WithMasking","LOOCV","LS8","rf",252,106,10,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VV_MAX + VV_MAX_1 + d_VV_MAX",0.785714285714286,0.709751727668288,0.707547169811321,0.605853424493223
"21","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0021.csv","100","WithMasking","LOOCV","LS8","rf",252,106,8,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VV_MAX",0.801587301587302,0.731646540157178,0.726415094339623,0.631238003838772
"22","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0022.csv","100","WithMasking","LOOCV","LS8","rf",252,106,8,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + d_VH_MAX",0.793650793650794,0.72030479605558,0.754716981132076,0.668869398053587
"23","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0023.csv","100","WithMasking","LOOCV","LS8","rf",252,106,17,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM",0.781746031746032,0.704086425551902,0.754716981132076,0.668988710064857
