"","code","area_ha"
"1","1",3913
"2","2",2966
"3","3",645
"4","4",1855
"5","27",433
"6","43",66
"7","59",3593
"8","91",17
"9","107",209
"10","123",11383
"11","155",91
"12","171",10
"13","187",465
"14","219",4
"15","233",282
"16","235",3008
"17","249",6151
"18","251",204937
